street_name,nearest_station_distance
BENDEMEER RD SINGAPORE,0.0902478976769152
WHAMPOA STH SINGAPORE,0.5170951712855901
WHAMPOA DR SINGAPORE,1.0050597159440242
ST. GEORGE'S LANE SINGAPORE,0.6862682452972748
JLN DUSUN SINGAPORE,0.7053204582353487
JLN TENTERAM SINGAPORE,0.3694956995099608
BOON KENG RD SINGAPORE,0.03308429367159408
FARRER PK RD SINGAPORE,0.0868605511714453
MCNAIR RD SINGAPORE,0.5046204599061344
AH HOOD RD SINGAPORE,0.7521443199499287
WHAMPOA RD SINGAPORE,0.8939638465823744
CRAWFORD LANE SINGAPORE,0.217505245889404
JLN RAJAH SINGAPORE,0.7891227759658113
MARINE TER SINGAPORE,0.28329255316573504
MARINE DR SINGAPORE,0.270514946248007
MARINE CRES SINGAPORE,0.21252769500123153
CHANGI VILLAGE RD SINGAPORE,3.497398040566194
PASIR RIS ST SINGAPORE,1.0068334669268966
PASIR RIS DR SINGAPORE,1.753231776353265
ELIAS RD SINGAPORE,1.8104557071092076
EDGEDALE PLAINS SINGAPORE,0.31437293496218177
PUNGGOL FIELD SINGAPORE,0.1477201183503596
PUNGGOL CTRL SINGAPORE,0.27795118654021145
PUNGGOL DR SINGAPORE,0.2729423106540467
PUNGGOL PL SINGAPORE,0.3093950810184811
EDGEFIELD PLAINS SINGAPORE,0.2368382245127186
STIRLING RD SINGAPORE,0.6511781679563987
C'WEALTH AVE SINGAPORE,0.6313717197594297
DOVER CRES SINGAPORE,0.7189139909736909
GHIM MOH RD SINGAPORE,0.9872104072260525
HOLLAND AVE SINGAPORE,0.18552043563930326
HOLLAND DR SINGAPORE,1.4556246210825476
DOVER RD SINGAPORE,1.3572836167400988
MEI LING ST SINGAPORE,0.5656624223502376
STRATHMORE AVE SINGAPORE,0.4230889745119482
QUEENSWAY SINGAPORE,0.3885131204309248
HOLLAND CL SINGAPORE,0.25275125343320204
TANGLIN HALT RD SINGAPORE,0.5412125702754059
ADMIRALTY LINK SINGAPORE,1.098516338706785
SEMBAWANG DR SINGAPORE,0.17224399142658167
MONTREAL DR SINGAPORE,0.7981972349154965
ADMIRALTY DR SINGAPORE,0.7920847266212449
WELLINGTON CIRCLE SINGAPORE,0.8173861364303476
SEMBAWANG CL SINGAPORE,0.21838657312263698
SEMBAWANG VISTA SINGAPORE,0.2377765532237929
CANBERRA RD SINGAPORE,0.39121114573154325
ANCHORVALE LINK SINGAPORE,0.17934119451562466
COMPASSVALE LANE SINGAPORE,0.20135009439571727
RIVERVALE CRES SINGAPORE,0.2015090142102324
RIVERVALE ST SINGAPORE,0.4162517368547012
COMPASSVALE CRES SINGAPORE,0.4278614262308905
RIVERVALE DR SINGAPORE,0.16572929347579773
COMPASSVALE WALK SINGAPORE,0.4127239465452503
ANCHORVALE DR SINGAPORE,0.4235325113037392
SENGKANG EAST RD SINGAPORE,0.38696399970323575
FERNVALE LINK SINGAPORE,0.3744877658958591
COMPASSVALE DR SINGAPORE,0.26074232289374366
RIVERVALE WALK SINGAPORE,0.3117994763576096
FERNVALE RD SINGAPORE,0.46095776933060495
COMPASSVALE RD SINGAPORE,0.14409302130683477
SENGKANG EAST WAY SINGAPORE,0.20671149454688978
SENGKANG WEST AVE SINGAPORE,0.43303964939271405
COMPASSVALE BOW SINGAPORE,0.4296610655824085
SENGKANG CTRL SINGAPORE,0.2881663308254774
COMPASSVALE LINK SINGAPORE,0.25752086367615545
COMPASSVALE ST SINGAPORE,0.5615051184174417
SERANGOON NTH AVE SINGAPORE,0.9002055224782423
SERANGOON AVE SINGAPORE,0.8809017383322173
SERANGOON CTRL SINGAPORE,0.7281021953361676
SERANGOON CTRL DR SINGAPORE,0.5321388586687895
TAMPINES ST SINGAPORE,0.2107806715959319
TAMPINES AVE SINGAPORE,0.7116384664559325
